client_code,Депозит Мультивалютный,Депозит Накопительный,Депозит Сберегательный,Золотые слитки,Инвестиции,Карта для путешествий,Кредит наличными,Кредитная карта,Обмен валют,Премиальная карта
38,70308.98958333333,75157.88541666667,80006.78125,24244.479166666668,48488.958333333336,20644.3352,0.0,68104.7694,0.0,89578.0287
41,14068.782083333334,15039.042916666667,16009.303750000001,4851.304166666667,9702.608333333334,14397.955600000001,0.0,52234.52865000001,0.0,72221.094
10,15434.34375,16498.78125,17563.21875,5322.1875,10644.375,17214.188400000003,0.0,49054.9761,0.0,87586.0422
58,753.2145833333333,805.1604166666666,857.10625,259.7291666666667,519.4583333333334,13532.0196,0.0,51427.8159,0.0,48742.626
42,35622.005,38078.695,40535.385,12283.45,24566.9,18582.7484,0.0,73054.74105,0.0,94802.40959999998
40,1040.2783333333334,1112.0216666666668,1183.765,358.71666666666664,717.4333333333333,15093.202800000001,0.0,51569.8005,0.0,49211.9822
11,39036.07833333333,41728.221666666665,44420.365,13460.716666666667,26921.433333333334,16484.7432,0.0,48153.40635,0.0,89403.83069999999
59,53498.48708333333,57188.03791666667,60877.58875,18447.754166666666,36895.50833333333,19086.158,0.0,66568.9458,0.0,92757.2118
27,856.2008333333333,915.2491666666666,974.2975,295.2416666666667,590.4833333333333,25650.293599999997,0.0,49589.23485,0.0,50988.6498
19,968.4791666666666,1035.2708333333333,1102.0625,333.9583333333333,667.9166666666666,16396.8944,0.0,49299.18855,0.0,45568.1658
56,732.5158333333333,783.0341666666667,833.5525,252.59166666666667,505.18333333333334,29747.5784,0.0,50962.771199999996,0.0,54773.343
33,9959.639166666666,10646.510833333334,11333.3825,3434.358333333333,6868.716666666666,16879.390400000004,0.0,51895.3326,0.0,49575.91279999999
12,10259.305833333334,10966.844166666666,11674.3825,3537.6916666666666,7075.383333333333,20733.858799999998,0.0,46691.4294,0.0,52919.091799999995
43,922.1999999999999,985.8,1049.4,318.0,636.0,14356.519200000002,0.0,49158.09225,0.0,46342.99119999999
13,653.3941666666667,698.4558333333333,743.5175,225.30833333333334,450.6166666666667,13604.875200000002,0.0,35633.073300000004,0.0,35403.6828
49,17046.67125,18222.30375,19397.93625,5878.1625,11756.325,26885.0412,0.0,52261.073099999994,0.0,81670.0905
16,563.4458333333333,602.3041666666667,641.1625,194.29166666666666,388.5833333333333,14392.663199999999,0.0,33709.9698,0.0,33934.271
28,1815.8954166666667,1941.1295833333334,2066.36375,626.1708333333333,1252.3416666666667,28332.5804,0.0,47594.0364,0.0,50029.813
4,1007.1579166666667,1076.6170833333333,1146.07625,347.29583333333335,694.5916666666667,30761.783600000002,0.0,46961.80275,0.0,50819.8684
15,1942.7341666666666,2076.715833333333,2210.6975,669.9083333333333,1339.8166666666666,13138.4904,0.0,45730.5348,0.0,43700.74859999999
44,1085.6391666666666,1160.5108333333333,1235.3825,374.35833333333335,748.7166666666667,13116.3052,0.0,47171.43135,0.0,44554.686400000006
52,41309.400416666664,44158.324583333335,47007.24875,14244.620833333332,28489.241666666665,20209.096000000005,0.0,63355.30875000001,0.0,86190.83909999998
14,693.4020833333333,741.2229166666666,789.04375,239.10416666666666,478.2083333333333,13762.4388,0.0,43907.1408,0.0,42154.548
37,10879.362083333333,11629.662916666666,12379.96375,3751.5041666666666,7503.008333333333,13186.2404,0.0,48349.24725000001,0.0,45816.962000000014
46,1039.4566666666667,1111.1433333333334,1182.83,358.43333333333334,716.8666666666667,13209.304399999999,0.0,48764.50455,0.0,46110.5484
17,1076.9391666666666,1151.2108333333333,1225.4825,371.35833333333335,742.7166666666667,13873.648400000002,0.0,45377.12054999999,0.0,42230.166
23,1768.8670833333333,1890.8579166666666,2012.84875,609.9541666666667,1219.9083333333333,17783.8172,0.0,49869.62745,0.0,46369.044
8,12789.03625,13671.03875,14553.04125,4410.0125,8820.025,18678.4252,0.0,51797.80875,0.0,96453.77519999999
47,961.7366666666667,1028.0633333333333,1094.39,331.6333333333333,663.2666666666667,24083.1684,0.0,47350.59645,0.0,49925.653
9,37267.174999999996,39837.325,42407.475,12850.75,25701.5,15431.038800000002,0.0,47049.556500000006,0.0,84716.667
53,15207.89,16256.71,17305.53,5244.1,10488.2,18248.058,0.0,47980.2402,0.0,68754.5418
26,1646.33,1759.87,1873.41,567.7,1135.4,37216.6712,0.0,49457.60369999999,0.0,54267.282999999996
18,1185.2420833333333,1266.9829166666666,1348.72375,408.70416666666665,817.4083333333333,15088.6008,0.0,46036.957500000004,0.0,46911.5
5,16149.81,17263.59,18377.37,5568.9,11137.8,34947.7568,0.0,49749.07290000001,0.0,81110.12999999999
39,15082.887916666667,16123.087083333334,17163.28625,5200.995833333333,10401.991666666667,10848.5632,0.0,49824.8805,0.0,66617.397
48,993.4191666666667,1061.9308333333333,1130.4425,342.55833333333334,685.1166666666667,17012.6072,0.0,47347.89465,0.0,44529.29060000001
1,1119.43625,1196.63875,1273.84125,386.0125,772.025,31810.969599999997,0.0,48793.42155,0.0,52538.28540000001
51,17267.409583333334,18458.265416666665,19649.12125,5954.279166666666,11908.558333333332,18460.8908,0.0,48348.47564999999,0.0,69149.06999999999
6,1594.1420833333334,1704.0829166666667,1814.02375,549.7041666666667,1099.4083333333333,27270.0668,0.0,50738.2794,0.0,53405.13740000001
32,27999.016666666666,29929.983333333334,31860.95,9654.833333333334,19309.666666666668,16515.4616,0.0,70371.8199,0.0,91750.13909999999
7,48828.713749999995,52196.21125,55563.70875,16837.4875,33674.975,17226.004,0.0,47853.90045000001,0.0,81054.65670000002
57,33322.25666666667,35620.34333333333,37918.43,11490.433333333332,22980.866666666665,17627.146399999998,0.0,68692.1673,0.0,90229.9347
50,43182.17208333333,46160.252916666665,49138.33375,14890.404166666667,29780.808333333334,20478.400400000002,0.0,67961.2512,0.0,90637.1499
36,8606.680416666666,9200.244583333333,9793.80875,2967.820833333333,5935.641666666666,15461.0116,0.0,46524.53295,0.0,44056.507000000005
29,1069.2179166666667,1142.9570833333332,1216.69625,368.6958333333333,737.3916666666667,29919.5872,0.0,49100.70509999999,0.0,53582.066600000006
54,49339.8025,52742.5475,56145.2925,17013.725,34027.45,49552.0208,0.0,73322.0889,0.0,100000.0
3,762.6516666666666,815.2483333333333,867.845,262.98333333333335,525.9666666666667,12270.030400000001,0.0,35805.72795,191.014285,32745.306
22,936.1441666666666,1000.7058333333333,1065.2675,322.80833333333334,645.6166666666667,15085.0828,0.0,50327.03655,0.0,46125.197400000005
2,19056.298749999998,20370.52625,21684.75375,6571.1375,13142.275,24653.228800000004,0.0,50380.46100000001,0.0,78698.16960000001
55,42345.35291666666,45265.722083333334,48186.09125,14601.845833333333,29203.691666666666,15003.2708,0.0,60408.1332,0.0,81742.10699999999
35,17506.297083333335,18713.627916666668,19920.95875,6036.654166666666,12073.308333333332,18340.8676,0.0,68408.1621,0.0,89420.12130000001
31,15754.83,16841.37,17927.91,5432.7,10865.4,21675.731200000002,0.0,50212.94835,0.0,70296.26670000001
25,672.2441666666666,718.6058333333333,764.9675,231.80833333333334,463.6166666666667,19468.2452,0.0,46524.268800000005,0.0,44802.22779999999
